ID,ECLO
ACCIDENT_39609,4.511929371549539
ACCIDENT_39610,3.6541041518463677
ACCIDENT_39611,6.085224864311234
ACCIDENT_39612,5.152753403061884
ACCIDENT_39613,5.109913994174954
ACCIDENT_39614,4.7766560479619
ACCIDENT_39615,4.611897880108726
ACCIDENT_39616,3.821954802806181
ACCIDENT_39617,4.492983537778981
ACCIDENT_39618,4.98053490737836
ACCIDENT_39619,4.833859185774246
ACCIDENT_39620,3.368088091117056
ACCIDENT_39621,4.686418767090269
ACCIDENT_39622,3.4555452545297296
ACCIDENT_39623,3.3465237840937743
ACCIDENT_39624,4.580398116688529
ACCIDENT_39625,5.331001763120887
ACCIDENT_39626,5.079245484217442
ACCIDENT_39627,5.167245425019715
ACCIDENT_39628,5.089967542782255
ACCIDENT_39629,4.611940689876312
ACCIDENT_39630,3.5564349117985494
ACCIDENT_39631,4.528646880448509
ACCIDENT_39632,4.917564880356498
ACCIDENT_39633,5.222824088531524
ACCIDENT_39634,5.2271636675126905
ACCIDENT_39635,5.21674086308646
ACCIDENT_39636,5.221080442067627
ACCIDENT_39637,3.4455910821124425
ACCIDENT_39638,4.712930909155893
ACCIDENT_39639,5.2271636675126905
ACCIDENT_39640,4.8551896564184585
ACCIDENT_39641,5.06991357448228
ACCIDENT_39642,3.8880780031548694
ACCIDENT_39643,5.229911292009172
ACCIDENT_39644,3.16803790382791
ACCIDENT_39645,3.904515880461784
ACCIDENT_39646,5.259711855450728
ACCIDENT_39647,5.263562078968158
ACCIDENT_39648,7.302109816542024
ACCIDENT_39649,3.173571196711938
ACCIDENT_39650,3.77075845040586
ACCIDENT_39651,4.347491818036711
ACCIDENT_39652,6.058412193136313
ACCIDENT_39653,4.11769246882624
ACCIDENT_39654,3.631144008150399
ACCIDENT_39655,4.012179345059937
ACCIDENT_39656,3.9976508398181307
ACCIDENT_39657,4.818740214723458
ACCIDENT_39658,5.028152394949637
ACCIDENT_39659,4.032005031301739
ACCIDENT_39660,5.241643304831509
ACCIDENT_39661,4.46943832085207
ACCIDENT_39662,5.470064528371028
ACCIDENT_39663,4.752133666700606
ACCIDENT_39664,4.156277442635177
ACCIDENT_39665,4.302048276594589
ACCIDENT_39666,3.3088464690072588
ACCIDENT_39667,4.61029786432158
ACCIDENT_39668,3.65309818076069
ACCIDENT_39669,3.759153981949736
ACCIDENT_39670,4.5513005524793035
ACCIDENT_39671,5.916805899389169
ACCIDENT_39672,4.069014189077096
ACCIDENT_39673,3.987044655825606
ACCIDENT_39674,5.594272149535401
ACCIDENT_39675,4.5022200244951005
ACCIDENT_39676,5.114993636685634
ACCIDENT_39677,3.8631793592290236
ACCIDENT_39678,4.087759311185387
ACCIDENT_39679,4.865302360757963
ACCIDENT_39680,4.939551135317836
ACCIDENT_39681,4.229015594291215
ACCIDENT_39682,4.491053138477362
ACCIDENT_39683,3.7517615835790763
ACCIDENT_39684,4.459794439138604
ACCIDENT_39685,6.1173819025632685
ACCIDENT_39686,5.535749197906156
ACCIDENT_39687,5.092577190094579
